country,year,PES,PES_AES,Re_M1_annual,A_lambda,B,C,valid
Egypt,2023,3.976870581085441,0.014763054145451126,0.37122289610494996,0.004320736672075245,0.03622820992887276,23.7153795657885,True
Jordan,1991,0.06196869841782696,0.00046526608691473554,0.7508082286603089,0.00894954224047904,0.01583060189501281,52.99449696131215,True
Jordan,1992,-0.06375318357351231,,,0.00894954224047904,,,False
Jordan,1993,-0.07989932863732813,,,0.00894954224047904,,,False
Jordan,1994,-0.03903955357570291,,,0.00894954224047904,,,False
Jordan,1995,-0.19424564000063516,,,0.00894954224047904,,,False
Jordan,1996,0.0334288425817399,0.000883737579196908,2.643637981291159,0.00894954224047904,0.020406422709101386,144.75523608595546,True
Jordan,1997,0.2283438377836433,0.0013694604860153426,0.5997361257074569,0.00894954224047904,0.03207297657180707,20.893929287991302,True
Jordan,1998,0.06670755423090764,0.0012686603033533654,1.9018240407404359,0.00894954224047904,0.02924030629395125,72.6754271820353,True
Jordan,1999,0.16968508340755276,0.0014208837163265037,0.8373651282675207,0.00894954224047904,0.03278499793202577,28.539008979953756,True
Jordan,2000,-0.42175345179737384,,,0.00894954224047904,,,False
Jordan,2001,0.5832642823750906,0.0023185177065542053,0.3975072324183899,0.00894954224047904,0.050060967722063573,8.872478833997958,True
Jordan,2002,0.19131143148184387,0.002585087431962397,1.351245668875637,0.00894954224047904,0.054675630940643004,27.614659297039317,True
Jordan,2003,0.052862602777533206,0.0019487674634434558,3.6864765657579177,0.00894954224047904,0.03995422358293281,103.09745857455717,True
Jordan,2004,-0.5170873295666354,,,0.00894954224047904,,,False
Jordan,2005,0.22515166596669245,0.004539128905965761,2.0160316764599253,0.00894954224047904,0.07532915221299244,29.90428683301876,True
Jordan,2006,0.14589957097083184,0.004778840815181853,3.2754317119528995,0.00894954224047904,0.07487044382204151,48.882940179624136,True
Jordan,2007,0.2081211114577363,0.005077889606715674,2.4398724238731804,0.00894954224047904,0.07558158880898745,36.070343596663264,True
Jordan,2008,0.7140386229371387,0.004420660492562934,0.6191066352095792,0.00894954224047904,0.06734203279786799,10.272553562758391,True
Jordan,2009,-0.24106476424310622,,,0.00894954224047904,,,False
Jordan,2010,0.5694449045753204,0.001530453156573531,0.2687622883753626,0.00894954224047904,0.02262324370618692,13.27433073729466,True
Jordan,2011,0.4918992132636237,0.001734367825362954,0.35258601327208344,0.00894954224047904,0.026642016279358045,14.787582097842558,True
Jordan,2012,-0.5782717665040974,,,0.00894954224047904,,,False
Jordan,2013,0.23755754959671457,0.0018213659963197165,0.7667051623540178,0.00894954224047904,0.02543619418025094,33.68025985106665,True
Jordan,2014,-0.04125562507785343,,,0.00894954224047904,,,False
Jordan,2015,-0.18046309113717865,,,0.00894954224047904,,,False
Jordan,2016,-0.83448095404272,,,0.00894954224047904,,,False
Jordan,2017,0.1911560053477277,0.002107991455992979,1.1027597339452548,0.00894954224047904,0.02413832944408977,51.04731071487624,True
Jordan,2018,0.7802651797609477,0.0015444503651088715,0.19793916288588573,0.00894954224047904,0.018829581351137856,11.746006662514286,True
Jordan,2019,1.6725197727078331,0.0011789300139261878,0.07048825569442946,0.00894954224047904,0.017212957199191505,4.575730657945935,True
Jordan,2020,-0.39740298786519485,,,0.00894954224047904,,,False
Jordan,2021,0.6282086929096767,0.002407905900723719,0.38329713165397494,0.00894954224047904,0.03526720756854931,12.144053538426425,True
Jordan,2022,4.3452371163915995,0.0007359470152740207,0.01693686663261246,0.00894954224047904,0.02370508005228508,0.798345385321745,True
Jordan,2023,-1.989268788673866,,,0.00894954224047904,,,False
Tunisia,1991,0.24057966252700722,0.001582403510548833,0.6577461677049257,0.009224623254829877,0.03756926446779608,18.979160383049525,True
Tunisia,1992,0.16041030045086654,0.003180610330281768,1.9827968162530714,0.009224623254829877,0.07240564656266474,29.686372923779874,True
Tunisia,1993,-0.4038377696002118,,,0.009224623254829877,,,False
Tunisia,1994,-0.15427937727283353,,,0.009224623254829877,,,False
Tunisia,1995,0.58432921187888,0.001087776985557561,0.18615824152618884,0.009224623254829877,0.022946296992020596,8.794699795130581,True
Tunisia,1996,0.024520844762879246,0.003375144397301777,13.764388747369837,0.009224623254829877,0.06674284091967436,223.56489154480101,True
